id,name,constituency,notes
1,"Peter R. Phillips, J.P., M.P.",St Lucy,
2,"Colin E. Jordan, M.P.",St Peter,
3,"Edmund G. Hinkson, S.C., M.P.",St James North,
4,"Trevor A. Prescod, J.P., M.P.",St Michael East,
5,"Kerrie D. Symmonds, M.P.",St James Central,
6,"C. Sandra V. Husbands, M.P.",St James South,
7,"Romel O. Springer, J.P., M.P.",St Andrew,
8,"Cynthia Y. Forde, J.P., M.P.",St Thomas,
9,"Dale D. Marshall, S.C., M.P.",St Joseph,
10,"Toni N. S.-A. Moore, J.P., M.P.",St George North,
11,"Dwight G. Sutherland, M.P.",St George South,
12,"Ryan R. Straughn, M.P.",Christ Church East Central,
13,"Ralph A. Thorne, K.C., M.P.",Christ Church South,Also serves as Opposition Leader
14,"Wilfred A. Abrahams, S.C., M.P.",Christ Church East,
15,"Kay S. McConney, M.P.",St Philip West,
16,"Indar A. Weir, M.P.",St Philip South,
17,"Sonia E. Browne, M.P.",St Philip North,
18,"William F. Duguid, J.P., M.P.",Christ Church West,
19,"Neil G. H. Rowe, J.P., M.P.",St Michael North West,
20,"Mia Amor Mottley, S.C., M.P.",St Michael North East,Prime Minister
21,"G. P. Ian Gooding-Edghill, M.P.",St Michael West Central,
22,"Christopher G. L. Gibbs, M.P.",St Michael West,
23,"Arthur E. Holder, S.C., M.P.",St Michael Central,Speaker of the House
24,"Marsha K. A. Caddle, M.P.",St Michael South Central,
25,"Corey A. Lane, J.P., M.P.",City of Bridgetown,
26,"Kirk D. M. Humphrey, M.P.",St Michael South,
27,"Santia J. O. Bradshaw, M.P.",St Michael South East,
28,"Davidson I. Ishmael, M.P.",St Michael North,
29,"Adrian R. Forde, M.P.",Christ Church West Central,
30,"Charles McD. Griffith, M.P.",St John,